,image_count,mean_rmse,min_rmse,max_rmse,,,Training time (s),Training Epoch
fig2 DNN,4370,0.0295,0.00595,0.0536,,fig5_wo_pretrain_20241015,2571.27,212
fig 2 Linear,4370,0.03,0.0127,0.0546,,fig5_wo_pretrain_20241115,1249.93,226
fig3_w_pretrain_20241015,226,0.0286,0.0221,0.054,,fig5_wo_pretrain_20241209,1442.08,178
fig3_w_pretrain_20241115,99,0.0649,0.0585,0.0708,,fig5_wo_pretrain_20241210,704.68,219
fig3_w_pretrain_20241209,149,0.108,0.101,0.114,,fig5_wo_pretrain_20241231,1971.3,171
fig3_w_pretrain_20241210,54,0.106,0.0812,0.11,,fig5_w_pretrain_20241015,534.72,44
fig3_w_pretrain_20241231,214,0.0867,0.081,0.0927,,fig5_w_pretrain_20241115,352.37,63
fig4a_freeze_20241015,226,0.0272,0.0215,0.0516,,fig5_w_pretrain_20241209,642.85,79
fig4a_freeze_20241115,99,0.0315,0.028,0.0351,,fig5_w_pretrain_20241210,153.25,47
fig4a_freeze_20241209,149,0.0316,0.0285,0.0376,,fig5_w_pretrain_20241231,876.85,76
fig4a_freeze_20241210,54,0.0319,0.0244,0.0369,,fig5_replay_20241015,411.7,26
fig4a_freeze_20241231,214,0.0273,0.0252,0.0335,,fig5_replay_20241115,387.87,39
fig4a_replay_20241015,226,0.0268,0.0213,0.0511,,fig5_replay_20241209,558.86,45
fig4a_replay_20241115,99,0.0304,0.0273,0.0343,,fig5_replay_20241210,245.58,32
fig4a_replay_20241209,149,0.0307,0.0279,0.0363,,fig5_replay_20241231,991.84,63
fig4a_replay_20241210,54,0.0309,0.0237,0.0351,,fig5_freeze_20241015,253.59,25
fig4a_replay_20241231,214,0.0265,0.0246,0.0304,,fig5_freeze_20241115,372.73,60
fig4a_w_pretrain_20241015,226,0.0265,0.021,0.0505,,fig5_freeze_20241209,627.98,81
fig4a_w_pretrain_20241115,99,0.0298,0.0265,0.0338,,fig5_freeze_20241210,198.17,41
fig4a_w_pretrain_20241209,149,0.0302,0.0275,0.0357,,fig5_freeze_20241231,861.64,88
fig4a_w_pretrain_20241210,54,0.0302,0.0229,0.0338,,fig9_wo_pretrain_20241015,2571.27,212
fig4a_w_pretrain_20241231,214,0.0263,0.0245,0.029,,fig9_wo_pretrain_20241115,1249.93,226
